Afghanistan,32526562,623,Asia
Albania,2896679,"3,984",Europe
Algeria,39666519,"4,154",Africa
American Samoa,8000,319,Oceania
Andorra,70473,"39,896",Europe
Angola,25021974,"4,714",Africa
Anguilla,14614,"21,880",North America
Antigua and Barbuda,91818,"14,764",North America
Argentina,43416755,"14,565",South America
Armenia,3017712,"3,489",Asia
Aruba,103889,"26,005",South America
Australia,23968973,"51,352",Australia
Austria,8544586,"44,118",Europe
Azerbaijan,9753968,"5,439",Asia
The Bahamas,388019,"22,817",North America
Bahrain,1377237,"22,600",Asia
Bangladesh,160995642,"1,208",Asia
Barbados,284215,"15,429",North America
Belarus,9495826,"5,751",Europe
Belgium,11299192,"40,278",Europe
Belize,359287,"4,789",North America
Benin,10879829,779,Africa
Bermuda,62004,"94,400",North America
Bhutan,774830,"2,677",Asia
Bolivia,10724705,"3,077",South America
Bosnia and Herzegovina,3810416,"4,265",Europe
Botswana,2262485,"6,361",Africa
Brazil,207847528,"8,528",South America
British Virgin Islands,30117,"30,144",North America
Brunei,423188,"30,553",Asia
Bulgaria,7149787,"6,847",Europe
Burkina Faso,18105570,611,Africa
Burundi,11178921,245,Africa
Cape Verde,520501,"3,080",Africa
Cambodia,15577899,"1,159",Asia
Cameroon,23344179,"1,217",Africa
Canada,35939927,"43,206",North America
Cayman Islands,59967,"62,132",North America
Central African Republic,4900274,333,Africa
Chad,14037472,713,Africa
Chile,17948141,"13,416",South America
Hong Kong,7287983,"42,431",Asia
Macau,587606,"78,586",Asia
China,1376048943,"8,109",Asia
Colombia,48228704,"6,056",South America
Comoros,788474,"1,369",Africa
Republic of the Congo,4620330,"1,838",Africa
Cook Islands,20833,"14,119",Oceania
Costa Rica,4807850,"11,015",North America
Cote d'Ivoire,22701556,"1,413",Africa
Croatia,4240317,"11,479",Europe
Cuba,11389562,"7,657",North America
Cyprus,891483,"21,942",Europe
Czech Republic,10543186,"17,562",Europe
North (PDR of Korea) Korea,25126270,648,Asia
Democratic Republic of the Congo,77266814,486,Africa
Denmark,5669081,"53,149",Europe
Djibouti,887861,"1,956",Africa
Dominica,72680,"7,051",North America
Dominican Republic,10528391,"6,374",North America
Ecuador,16144363,"6,205",South America
Egypt,91508084,"3,452",Africa
El Salvador,6126583,"4,219",North America
Equatorial Guinea,845060,"16,344",Africa
Eritrea,5227791,915,Africa
Estonia,1312558,"17,112",Europe
Ethiopia,99390750,603,Africa
Fiji,892145,"4,922",Oceania
Finland,5503457,"42,148",Europe
France,66629995,"36,304",Europe
French Polynesia,282764,"18,161",Oceania
Gabon,1725292,"7,961",Africa
The Gambia,1990924,473,Africa
Georgia,3999812,"3,491",Asia
Germany,80688545,"41,686",Europe
Ghana,27409893,"1,356",Africa
Greece,10954617,"17,788",Europe
Greenland,56186,"36,977",North America
Grenada,106825,"8,934",North America
Guatemala,16342897,"3,903",North America
Guinea,12608590,704,Australia
Guinea-Bissau,1844325,530,Africa
Guyana,767085,"4,279",South America
Haiti,10711067,794,North America
Honduras,8075060,"2,522",North America
Hungary,9855023,"12,351",Europe
Iceland,329425,"50,936",Europe
India,1311050527,"1,614",Asia
Indonesia,257563815,"3,346",Asia
Iran,79109272,"5,038",Asia
Iraq,36423395,"4,509",Asia
Ireland,4688465,"60,514",Europe
Israel,8064036,"37,129",Asia
Italy,59797685,"30,462",Europe
Jamaica,2793335,"5,106",North America
Japan,126573481,"34,629",Asia
Jordan,7594547,"4,940",Asia
Kazakhstan,17625226,"10,312",Asia
Kenya,46050302,"1,377",Africa
Kiribati,112423,"1,443",Oceania
Kosovo,1757371,"3,665",Europe
Kuwait,3892115,"29,304",Asia
Kyrgyzstan,5939962,"1,106",Asia
Laos,6802023,"1,850",Asia
Latvia,1970503,"13,704",Europe
Lebanon,5850743,"8,571",Asia
Lesotho,2135022,941,Africa
Liberia,4503438,456,Africa
Libya,6278438,"5,488",Africa
Liechtenstein,37531,"169,492",Europe
Lithuania,2878405,"14,384",Europe
Luxembourg,567110,"100,161",Europe
Madagascar,24235390,402,Africa
Malawi,17215232,373,Africa
Malaysia,30331007,"9,768",Asia
Maldives,363657,"9,446",Asia
Mali,17599694,744,Africa
Malta,418670,"23,281",Europe
Marshall Islands,52993,"3,453",Oceania
Mauritania,4067564,"1,235",Africa
Mauritius,1273212,"9,041",Africa
Mexico,127017224,"8,981",North America
Federated States of Micronesia,301389,"3,673",Oceania
Monaco,37731,"165,871",Europe
Mongolia,2959134,"3,973",Asia
Montenegro,625781,"6,424",Europe
Morocco,34377511,"2,919",Africa
Mozambique,27977863,529,Africa
Myanmar (Burma),53897154,"1,161",Asia
Namibia,2458830,"4,674",Africa
Nauru,10222,"18,469",Oceania
Nepal,28513700,725,Asia
Netherlands,16924929,"44,332",Europe
New Caledonia,263118,"33,966",Oceania
New Zealand,4528526,"38,294",Oceania
Nicaragua,6082032,"2,087",North America
Niger,19899120,359,Africa
Nigeria,182201962,"2,714",Africa
Norway,5210967,"74,186",Europe
Oman,4490541,"15,551",Asia
Pakistan,188924874,"1,410",Asia
Palau,21291,"12,122",Oceania
Panama,3929141,"13,268",North America
Papua New Guinea,7619321,"2,798",Oceania
Paraguay,6639123,"4,174",South America
Peru,31376670,"6,069",South America
Philippines,100699395,"2,904",Asia
Poland,38611794,"12,355",Europe
Portugal,10349803,"19,239",Europe
Puerto Rico,3683238,"27,939",North America
Qatar,2235355,"73,653",Asia
South Korea,50293439,"27,397",Asia
Moldova,4068897,"1,591",Europe
Romania,19511324,"9,121",Europe
Russian Federation,143456918,"9,243",Asia
Rwanda,11609666,697,Africa
Saint Kitts and Nevis,55572,"15,772",North America
Saint Lucia,184999,"7,839",North America
Saint Vincent and the Grenadines,109462,"6,739",North America
Samoa,193228,"4,006",Oceania
San Marino,31781,"49,240",Europe
Sao Tome and Principe,190344,"1,753",Africa
Saudi Arabia,31540372,"20,711",Asia
Senegal,15129273,901,Africa
Serbia,7093603,"5,239",Europe
Seychelles,96471,"14,133",Africa
Sierra Leone,6453184,695,Africa
Singapore,5603740,"52,239",Asia
Slovakia,5426258,"16,082",Europe
Slovenia,2067525,"20,690",Europe
Solomon Islands,583591,"1,842",Oceania
Somalia,10787104,145,Africa
South Africa,54490406,"5,773",Africa
Sudan,12339812,"1,067",Africa
Spain,46121699,"25,865",Europe
Sri Lanka,20715010,"3,974",Asia
Palestine,4668466,"2,716",Asia
Sudan,40234882,"1,977",Africa
Suriname,542975,"8,985",South America
Swaziland,1286970,"3,212",Africa
Sweden,9779426,"50,687",Europe
Switzerland,8298663,"80,831",Europe
Syria,18502413,"1,535",Asia
Tajikistan,8481855,926,Asia
Thailand,67959359,"5,815",Asia
Macedonia,2078453,"4,836",Europe
East Timor (Timor-Leste),1184765,"2,425",Asia
Togo,7304578,559,Africa
Tonga,106170,"3,784",Oceania
Trinidad and Tobago,1360088,"19,063",South America
Tunisia,11253554,"3,661",Africa
Turkey,78665830,"9,126",Asia
Turkmenistan,5373502,"6,997",Asia
Turks and Caicos Islands,34339,"25,122",North America
Tuvalu,9916,"3,362",Oceania
Uganda,39032383,648,Africa
Ukraine,44823765,"2,022",Europe
United Arab Emirates,9156963,"40,439",Asia
Great Britain,64715810,"44,162",Europe
Tanzania,52009632,877,Africa
United Republic of Tanzania: Zanzibar,1460787,794,Africa
United States,321773631,"56,054",North America
Uruguay,3431555,"15,574",South America
Uzbekistan,29893488,"2,308",Asia
Vanuatu,264652,"2,783",Oceania
Venezuela,31108083,"11,069",South America
Vietnam,93447601,"2,068",Asia
Yemen,26832215,"1,106",Asia
Zambia,16211767,"1,311",Africa
Zimbabwe,15602751,890,Africa
Guam,165124,"15,000",Oceania
Guernsey,"62,948","44,600",Europe
Jersey,8938000,"57,000",Europe
Netherlands Antilles,227049,"16,000",Europe
Scotland,5295000,"16,944",Europe
Taiwan (Chinese Taipei),2705000,"31,900",Asia
Virgin Islands,104737,"18,728.24Ê",North America
Wales,3063000,"19,700",Europe